,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,percentage_demographic_in_boston_census_group_id,percentage_demographic_in_boston_census_group_%white,percentage_demographic_in_boston_census_group_%black,percentage_demographic_in_boston_census_group_Estimate!!Total,percentage_demographic_in_boston_census_group_Estimate!!Total!!White alone,percentage_demographic_in_boston_census_group_Estimate!!Total!!Black or African American alone,stopped_in_census,stopped_black_in_census,stopped_white_in_census,crime_in_census,%black_in_census,%white_in_census,%stopped_in_census,%black_stopped_in_census,%white_stopped_in_census,%crime_in_census
377,25,25,90300,2,1500000US250250903002,250250903002,2,BG,162906,0,1500000US250250903002,0.24393203883495104,0.506674757281553,1648.0,402.0,835.0,1,0,1,242,0.0,0.0024875621890547263,0.0006067961165048543,0.0,0.0024875621890547263,0.14684466019417475
378,25,25,90700,2,1500000US250250907002,250250907002,2,BG,106433,0,1500000US250250907002,0.79896013864818,0.0398613518197574,1154.0,922.0,46.0,1,1,0,113,0.021739130434782608,0.0,0.0008665511265164644,0.021739130434782608,0.0,0.09792027729636049
379,25,25,91100,5,1500000US250250911005,250250911005,5,BG,66634,0,1500000US250250911005,0.618683001531394,0.0888208269525268,653.0,404.0,58.0,0,0,0,115,0.0,0.0,0.0,0.0,0.0,0.17611026033690658
380,25,25,91100,2,1500000US250250911002,250250911002,2,BG,99679,0,1500000US250250911002,0.7204081632653059,0.063265306122449,980.0,706.0,62.0,0,0,0,90,0.0,0.0,0.0,0.0,0.0,0.09183673469387756
381,25,25,91300,1,1500000US250250913001,250250913001,1,BG,105273,0,1500000US250250913001,0.254648342764753,0.5165723524656429,1237.0,315.0,639.0,17,12,4,214,0.018779342723004695,0.012698412698412698,0.0137429264349232,0.018779342723004695,0.012698412698412698,0.17299919159256266
382,25,25,91800,1,1500000US250250918001,250250918001,1,BG,154578,0,1500000US250250918001,0.0581484315225708,0.57459831675593,1307.0,76.0,751.0,2,1,1,305,0.0013315579227696406,0.013157894736842105,0.001530221882172915,0.0013315579227696406,0.013157894736842105,0.23335883703136956
383,25,25,92101,5,1500000US250250921015,250250921015,5,BG,212641,0,1500000US250250921015,0.248813559322034,0.293559322033898,2950.0,734.0,866.0,0,0,0,272,0.0,0.0,0.0,0.0,0.0,0.09220338983050848
384,25,25,92400,3,1500000US250250924003,250250924003,3,BG,183589,0,1500000US250250924003,0.0478380864765409,0.8969641214351429,2174.0,104.0,1950.0,1,1,0,385,0.0005128205128205128,0.0,0.00045998160073597056,0.0005128205128205128,0.0,0.17709291628334867
385,25,25,100100,6,1500000US250251001006,250251001006,6,BG,281860,874,1500000US250251001006,0.18299805321220003,0.6625567813108371,1541.0,282.0,1021.0,6,6,0,275,0.005876591576885406,0.0,0.003893575600259572,0.005876591576885406,0.0,0.17845554834523036
386,25,25,100500,1,1500000US250251005001,250251005001,1,BG,124826,0,1500000US250251005001,0.0881542699724518,0.5252525252525251,1089.0,96.0,572.0,0,0,0,339,0.0,0.0,0.0,0.0,0.0,0.31129476584022037
395,25,25,10204,1,1500000US250250102041,250250102041,1,BG,39817,0,1500000US250250102041,0.707957957957958,0.0157657657657658,1332.0,943.0,21.0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0045045045045045045
396,25,25,10600,2,1500000US250250106002,250250106002,2,BG,89350,0,1500000US250250106002,0.805479452054795,0.15342465753424697,1095.0,882.0,168.0,0,0,0,203,0.0,0.0,0.0,0.0,0.0,0.18538812785388128
397,25,25,10802,1,1500000US250250108021,250250108021,1,BG,60097,0,1500000US250250108021,0.852691218130312,0.00944287063267233,1059.0,903.0,10.0,0,0,0,58,0.0,0.0,0.0,0.0,0.0,0.05476864966949953
398,25,25,30100,1,1500000US250250301001,250250301001,1,BG,44688,0,1500000US250250301001,0.9347507331378299,0.0,1364.0,1275.0,0.0,0,0,0,49,,0.0,0.0,,0.0,0.03592375366568915
399,25,25,30400,1,1500000US250250304001,250250304001,1,BG,62092,0,1500000US250250304001,0.943174799258802,0.00247066090179123,1619.0,1527.0,4.0,0,0,0,84,0.0,0.0,0.0,0.0,0.0,0.05188387893761581
400,25,25,40300,4,1500000US250250403004,250250403004,4,BG,40880,0,1500000US250250403004,0.9452887537993921,0.0,658.0,622.0,0.0,1,0,0,32,,0.0,0.001519756838905775,,0.0,0.0486322188449848
401,25,25,100601,4,1500000US250251006014,250251006014,4,BG,139116,0,1500000US250251006014,0.384333486028401,0.31562070545121396,2183.0,839.0,689.0,0,0,0,144,0.0,0.0,0.0,0.0,0.0,0.06596426935409987
402,25,25,100700,3,1500000US250251007003,250251007003,3,BG,186092,0,1500000US250251007003,0.997881355932203,0.00105932203389831,944.0,942.0,1.0,0,0,0,45,0.0,0.0,0.0,0.0,0.0,0.04766949152542373
403,25,25,100900,3,1500000US250251009003,250251009003,3,BG,204625,5936,1500000US250251009003,0.269426289034132,0.530864197530864,1377.0,371.0,731.0,5,3,2,90,0.004103967168262654,0.005390835579514825,0.0036310820624546117,0.004103967168262654,0.005390835579514825,0.06535947712418301
404,25,25,101001,5,1500000US250251010015,250251010015,5,BG,128096,0,1500000US250251010015,0.12038834951456301,0.8796116504854371,1030.0,124.0,906.0,0,0,0,163,0.0,0.0,0.0,0.0,0.0,0.15825242718446603
406,25,25,503,2,1500000US250250005032,250250005032,2,BG,75711,0,1500000US250250005032,0.7744360902255641,0.0255639097744361,1330.0,1030.0,34.0,0,0,0,83,0.0,0.0,0.0,0.0,0.0,0.062406015037593986
407,25,25,601,4,1500000US250250006014,250250006014,4,BG,88403,0,1500000US250250006014,0.6758064516129029,0.0314516129032258,1240.0,838.0,39.0,0,0,0,54,0.0,0.0,0.0,0.0,0.0,0.043548387096774194
408,25,25,701,4,1500000US250250007014,250250007014,4,BG,55254,0,1500000US250250007014,0.812417437252312,0.0,757.0,615.0,0.0,0,0,0,34,,0.0,0.0,,0.0,0.04491413474240423
409,25,25,704,1,1500000US250250007041,250250007041,1,BG,109786,0,1500000US250250007041,0.628293241695304,0.0532646048109966,1746.0,1097.0,93.0,0,0,0,198,0.0,0.0,0.0,0.0,0.0,0.1134020618556701
410,25,25,802,4,1500000US250250008024,250250008024,4,BG,319744,0,1500000US250250008024,0.686556927297668,0.0445816186556927,1458.0,1001.0,65.0,1,1,0,142,0.015384615384615385,0.0,0.0006858710562414266,0.015384615384615385,0.0,0.09739368998628258
411,25,25,170601,3,1500000US250251706013,250251706013,3,BG,225123,0,1500000US250251706013,0.816082802547771,0.0628980891719745,1256.0,1025.0,79.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
412,25,25,170702,1,1500000US250251707021,250251707021,1,BG,66103,0,1500000US250251707021,0.5948795180722889,0.227409638554217,664.0,395.0,151.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
413,25,25,180400,2,1500000US250251804002,250251804002,2,BG,162161,0,1500000US250251804002,0.88124410933082,0.0,1061.0,935.0,0.0,0,0,0,0,,0.0,0.0,,0.0,0.0
414,25,25,301,2,1500000US250250003012,250250003012,2,BG,142614,0,1500000US250250003012,0.856796116504854,0.0558252427184466,824.0,706.0,46.0,0,0,0,45,0.0,0.0,0.0,0.0,0.0,0.05461165048543689
415,25,25,140107,2,1500000US250251401072,250251401072,2,BG,134727,0,1500000US250251401072,0.48449197860962606,0.35828877005347604,935.0,453.0,335.0,0,0,0,65,0.0,0.0,0.0,0.0,0.0,0.06951871657754011
426,25,25,110403,4,1500000US250251104034,250251104034,4,BG,206593,0,1500000US250251104034,0.591780821917808,0.137899543378995,1095.0,648.0,151.0,0,0,0,30,0.0,0.0,0.0,0.0,0.0,0.0273972602739726
427,25,25,110501,3,1500000US250251105013,250251105013,3,BG,162039,0,1500000US250251105013,0.7878228782287819,0.0313653136531365,1084.0,854.0,34.0,0,0,0,37,0.0,0.0,0.0,0.0,0.0,0.03413284132841329
428,25,25,110601,2,1500000US250251106012,250251106012,2,BG,302517,0,1500000US250251106012,0.8458070333633899,0.0288548241659152,1109.0,938.0,32.0,0,0,0,14,0.0,0.0,0.0,0.0,0.0,0.012623985572587917
429,25,25,110607,1,1500000US250251106071,250251106071,1,BG,154851,0,1500000US250251106071,0.811320754716981,0.0,901.0,731.0,0.0,0,0,0,39,,0.0,0.0,,0.0,0.04328523862375139
430,25,25,120400,5,1500000US250251204005,250251204005,5,BG,250276,0,1500000US250251204005,0.8054830287206272,0.0933420365535248,1532.0,1234.0,143.0,0,0,0,159,0.0,0.0,0.0,0.0,0.0,0.10378590078328982
431,25,25,120600,3,1500000US250251206003,250251206003,3,BG,87279,0,1500000US250251206003,0.8286413708690329,0.0575275397796818,817.0,677.0,47.0,0,0,0,52,0.0,0.0,0.0,0.0,0.0,0.06364749082007344
432,25,25,120700,2,1500000US250251207002,250251207002,2,BG,82406,0,1500000US250251207002,0.7392592592592591,0.0562962962962963,1350.0,998.0,76.0,0,0,0,27,0.0,0.0,0.0,0.0,0.0,0.02
433,25,25,130404,2,1500000US250251304042,250251304042,2,BG,276326,0,1500000US250251304042,0.833333333333333,0.0611111111111111,720.0,600.0,44.0,0,0,0,42,0.0,0.0,0.0,0.0,0.0,0.058333333333333334
434,25,25,130402,1,1500000US250251304021,250251304021,1,BG,332414,0,1500000US250251304021,0.822742474916388,0.0459866220735786,1196.0,984.0,55.0,2,0,2,102,0.0,0.0020325203252032522,0.0016722408026755853,0.0,0.0020325203252032522,0.08528428093645485
